"date","lip","lcpi","lpcom","unemp","ffr","gs1","ebp","shock_wieland","lip_lag1","lip_lag2","unemp_lag1","unemp_lag2","lcpi_lag1","lcpi_lag2","lpcom_lag1","lpcom_lag2","ffr_lag1","ffr_lag2","shock_wieland_lag1","dep_lead","shock_bauer","shock_bs_lag1","shock_bauer_lag1","shock_bauer_lag2"
2016-07-01,4.59355499001578,5.48105966814981,523.484494359246,4.8,0.39,0.51,6.83,-0.44821,4.59240404445842,4.5875651222793,4.9,4.8,5.48156349579313,5.47879138435909,523.431203657212,522.197613329131,0.38,0.37,-0.29879,4.55391583821053,0.0056751394634857,-0.037190644342058,-0.037190644342058,0
2016-08-01,4.59251747699808,5.48290718223,522.896728841324,4.9,0.4,0.57,6.37,NA,4.59355499001578,4.59240404445842,4.8,4.9,5.48105966814981,5.48156349579313,523.484494359246,523.431203657212,0.39,0.38,-0.44821,4.56361250424968,0,0.0056751394634857,0.0056751394634857,-0.037190644342058
2016-09-01,4.59163094268611,5.48552695741477,523.057371446152,5,0.4,0.59,6.24,-4.1413,4.59251747699808,4.59355499001578,4.9,4.8,5.48290718223,5.48105966814981,522.896728841324,523.484494359246,0.4,0.39,NA,4.56321630112158,-0.016753348133959,0,0,0.0056751394634857
2016-10-01,4.59232503919541,5.48786690509852,522.950305054768,4.9,0.4,0.66,6.34,NA,4.59163094268611,4.59251747699808,5,4.9,5.48552695741477,5.48290718223,523.057371446152,522.896728841324,0.4,0.4,-4.1413,4.5698082581372,0,-0.016753348133959,-0.016753348133959,0
2016-11-01,4.58847458687694,5.48904515840217,522.735827760754,4.7,0.41,0.74,6.58,-0.2494,4.59232503919541,4.59163094268611,4.9,5,5.48786690509852,5.48552695741477,522.950305054768,523.057371446152,0.4,0.4,NA,4.57422529356724,0.014011448139666,0,0,-0.016753348133959
2016-12-01,4.59552986707626,5.49156649930785,523.750522715128,4.7,0.54,0.87,6.19,-0.45872,4.58847458687694,4.59232503919541,4.7,4.9,5.48904515840217,5.48786690509852,522.735827760754,522.950305054768,0.41,0.4,-0.2494,4.58704592943942,0.0360435820238318,0.014011448139666,0.014011448139666,0
2017-01-01,4.59325751099648,5.49560142473151,525.070151260637,4.7,0.65,0.83,5.96,NA,4.59552986707626,4.58847458687694,4.7,4.7,5.49156649930785,5.48904515840217,523.750522715128,522.735827760754,0.54,0.41,-0.45872,4.59323423509559,0,0.0360435820238318,0.0360435820238318,0.014011448139666
2017-02-01,4.58940252724637,5.4971928151548,525.540986553676,4.6,0.66,0.82,5.68,-0.23008,4.59325751099648,4.59552986707626,4.7,4.7,5.49560142473151,5.49156649930785,525.070151260637,523.750522715128,0.65,0.54,NA,4.55920163731496,-0.0100920271249347,0,0,0.0360435820238318
2017-03-01,4.59561669638302,5.49672550435593,525.48878086207,4.4,0.79,1.01,5.9,0.51153,4.58940252724637,4.59325751099648,4.6,4.7,5.4971928151548,5.49560142473151,525.540986553676,525.070151260637,0.66,0.65,-0.23008,4.58693391132088,-0.0413861051234514,-0.0100920271249347,-0.0100920271249347,0
2017-04-01,4.60558609948408,5.49795889623709,526.269018890489,4.4,0.9,1.04,5.7,NA,4.59561669638302,4.58940252724637,4.4,4.6,5.49672550435593,5.4971928151548,525.48878086207,525.540986553676,0.79,0.66,0.51153,4.58834645736427,0,-0.0413861051234514,-0.0413861051234514,-0.0100920271249347
2017-05-01,4.60644936748647,5.49718461860145,526.165338217644,4.4,0.91,1.12,5.57,0.02848,4.60558609948408,4.59561669638302,4.4,4.4,5.49795889623709,5.49672550435593,526.269018890489,525.48878086207,0.9,0.79,NA,4.59700393272165,0.0447146438346912,0,0,-0.0413861051234514
2017-06-01,4.60853452026352,5.49783603504551,526.579417484248,4.3,1.04,1.2,5.71,1.88925,4.60644936748647,4.60558609948408,4.4,4.4,5.49718461860145,5.49795889623709,526.165338217644,526.269018890489,0.91,0.9,0.02848,4.6016469868043,0.0390383754232761,0.0447146438346912,0.0447146438346912,0
2017-07-01,4.60603481209119,5.49816363135151,526.527751246984,4.3,1.15,1.22,5.51,-0.01199,4.60853452026352,4.60644936748647,4.3,4.4,5.49783603504551,5.49718461860145,526.579417484248,526.165338217644,1.04,0.91,1.88925,4.6058379629754,-0.0137187812218172,0.0390383754232761,0.0390383754232761,0.0447146438346912
2017-08-01,4.60148640920634,5.5020048705003,526.682669945667,4.4,1.16,1.23,5.63,NA,4.60603481209119,4.60853452026352,4.3,4.3,5.49816363135151,5.49783603504551,526.527751246984,526.579417484248,1.15,1.04,-0.01199,4.6055821011394,0,-0.0137187812218172,-0.0137187812218172,0.0390383754232761
